run_id,strategy,seed,stall_width_m,aisle_width_m,ped_density_per_m,suv_probability,suv_present,pedestrian_count,pedestrian_speed_mps,total_cycle_time_s,reaction_time_s,gear_shifts,los_blocked,creep_activated,max_blind_exit_speed_mps,min_pedestrian_distance_m,proximity_warning,required_braking_mps2,critical_conflict,collision
6198,forward,42,2.7,5.7007,0.142,0.11235,False,0,,15.2175,0.9106,1,False,False,1.2,,False,2.2864,False,False
6199,reverse,42,2.7,6.3154,0.10485,0.63144,True,0,,18.5885,0.9265,2,False,False,1.2,,True,1.6895,False,False
6200,forward,42,2.7,6.4096,0.16017,0.62861,False,0,,15.5081,0.7605,1,False,False,1.2,,False,2.5198,False,False
6201,reverse,42,2.7,6.5218,0.13064,0.29353,False,1,1.2628,18.465,0.6506,2,False,False,1.2,2.8278,True,0.8763,False,False
6202,forward,42,2.7,5.69,0.102,0.13823,False,2,1.4898,14.9696,0.6693,1,False,False,1.2,3.6632,False,2.0059,False,False
6203,reverse,42,2.7,6.2835,0.0566,0.68235,True,0,,18.2555,0.6171,2,False,False,1.2,,False,2.3388,False,False
6204,forward,42,2.7,6.1806,0.14878,0.04069,False,4,1.2456,15.1746,0.5693,1,False,False,1.2,2.883,False,5.3887,True,False
6205,reverse,42,2.7,5.7689,0.28371,0.45155,True,1,1.3248,18.1234,0.8648,2,False,False,1.2,1.819,True,2.0012,False,False
6206,forward,42,2.7,6.2521,0.2056,0.24271,False,1,1.6323,15.4408,0.791,1,False,False,1.2,1.5412,True,1.3974,False,False
6207,reverse,42,2.7,5.9507,0.08328,0.77535,True,1,1.6505,18.2324,0.8396,2,False,False,1.2,2.7205,False,0.315,False,False
6208,forward,42,2.7,7.0952,0.23838,0.74078,True,1,1.4297,18.1004,0.9266,1,True,True,0.5,2.1996,False,1.8214,False,False
6209,reverse,42,2.7,5.9575,0.14065,0.6948,False,0,,18.3731,0.9753,2,False,False,1.2,,False,2.2096,False,False
6210,forward,42,2.7,6.938,0.11714,0.48203,True,1,1.38,18.0753,0.9992,1,True,True,0.5,1.2187,False,5.0782,True,False
6211,reverse,42,2.7,6.0514,0.13341,0.00264,False,0,,18.3339,0.8667,2,False,False,1.2,,False,2.9186,False,False
6212,forward,42,2.7,5.6248,0.20427,0.54939,True,1,1.4656,17.0455,0.7858,1,True,True,0.5,2.8213,True,0.7281,False,False
6213,reverse,42,2.7,6.9892,0.11126,0.44294,False,1,1.311,18.8306,0.6711,2,False,False,1.2,1.9499,False,1.2718,False,False
6214,forward,42,2.7,7.068,0.08788,0.03167,False,3,1.6311,15.8053,0.6484,1,False,False,1.2,3.2164,False,1.9038,False,False
6215,reverse,42,2.7,6.8896,0.15096,0.4244,False,0,,18.9119,0.826,2,False,False,1.2,,True,3.5296,True,False
6216,forward,42,2.7,5.7799,0.22687,0.35869,True,4,1.4548,17.3323,0.9761,1,True,True,0.5,0.942,False,1.0146,False,False
6217,reverse,42,2.7,5.815,0.21643,0.47815,False,1,1.6823,18.0701,0.7774,2,False,False,1.2,2.6721,False,1.7456,False,False
6218,forward,42,2.7,5.8211,0.07954,0.27048,True,1,1.3888,17.2905,0.9087,1,True,True,0.5,1.2396,False,2.4328,False,False
6219,reverse,42,2.7,6.3085,0.13207,0.34774,True,0,,18.4596,0.8027,2,False,False,1.2,,False,2.9906,False,False
